===Round 1A 2019===
The top 1500 contestants in this round will advance to Round 2.
number of participants: 8431

{1} Pylons
 [1]  0pt visible    ?/5722
 [2]  8pt visible 3136/5722
 [3] 23pt  hidden  889/5722
{2} Alien Rhyme
 [1]  0pt visible    ?/5822
 [2] 10pt visible 3356/5822
 [3] 27pt  hidden 2105/5822
{3} Golf Gophers
 [1] 11pt visible 1834/2447
 [2] 21pt  hidden 1051/2447

99                   athin Indonesia 100pt 1:51:10 | 0:47:01 3/1 AA_ | 1:43:10 2/1 AA_ | 1:08:28   1/0 AA
112                   Nich Indonesia 100pt 1:55:47 | 1:35:47 5/4 AA_ | 0:39:43 2/0 AA_ | 1:02:50   2/1 AA
158                   wifi Indonesia 100pt 2:10:57 | 1:31:14 1/0 AA_ | 0:32:24 1/0 AA_ | 2:10:57   1/0 AA
185                  azaky Indonesia 100pt 2:17:47 | 2:13:47 2/1 AA_ | 0:41:19 1/0 AA_ | 1:08:16   1/0 AA
361            chaotic_iak Indonesia  77pt 0:58:40 | 0:18:41 1/0 A__ | 0:50:40 1/0 AA_ | 0:40:35   3/2 AA
407                 donjar Indonesia  77pt 1:58:54 | 0:32:04 5/0 A__ | 1:47:21 1/0 AA_ | 1:50:54   3/2 AA
458             kadalbonek Indonesia  77pt 2:17:29 | 1:36:01 3/1 A__ | 0:51:21 1/0 AA_ | 2:09:29   2/1 AA
516               Handojo1 Indonesia  77pt 2:33:48 | 2:25:48 3/1 A__ | 0:46:34 1/0 AA_ | 0:31:59   2/1 AA
730            SergioVieri Indonesia  69pt 2:10:09 |       -   -   - | 1:41:31 2/1 AA_ | 2:06:09   1/0 AA
770                 Klungs Indonesia  69pt 2:30:06 | 0:00:00 2/0 ___ | 2:14:06 1/0 AA_ | 1:54:15   5/4 AA
962             ardanachir Indonesia  63pt 2:30:48 | 1:43:24 4/2 AA_ |       -   -   - | 2:22:48   1/0 AA
1030              davi0015 Indonesia  56pt 2:09:27 | 1:35:57 1/0 A__ | 0:46:01 4/0 AA_ | 2:09:27   2/0 A_
1033                fushar Indonesia  56pt 2:10:49 | 2:06:49 1/0 A__ | 0:23:56 1/0 AA_ | 1:41:25   2/1 A_
1089                 Hocky Indonesia  56pt 2:28:10 | 0:27:23 3/0 A__ | 1:31:43 3/0 AA_ | 2:12:10   5/4 A_
1179             irwan..ap Indonesia  50pt 1:30:23 | 1:09:52 1/0 A__ | 1:30:23 1/0 A__ | 0:45:31   1/0 AA
1190              slowpoke Indonesia  50pt 2:02:00 | 1:58:00 1/0 A__ | 1:30:44 1/0 A__ | 1:02:50   2/1 AA
1215               plains4 Indonesia  50pt 2:26:35 | 0:57:51 1/0 A__ | 1:29:17 5/3 A__ | 1:54:35   6/5 AA
1221                 Kezia Indonesia  50pt 2:30:53 | 0:38:18 1/0 A__ | 1:06:05 2/1 A__ | 2:14:53   4/3 AA
1499                Ace_02 Indonesia  45pt 2:01:59 | 1:53:59 2/0 A__ | 1:03:09 3/2 AA_ | 0:00:00   2/0 __
1540                jt3698 Indonesia  45pt 2:08:16 | 2:04:16 1/0 A__ | 1:38:42 2/1 AA_ |       -     -  -
1702                   Oda Indonesia  45pt 2:32:41 | 2:28:41 2/1 A__ | 0:39:45 1/0 AA_ |       -     -  -
1775                  fikr Indonesia  42pt 2:09:51 |       -   -   - | 2:09:51 1/0 A__ | 1:06:07   1/0 AA
1816           kevinluvian Indonesia  41pt 1:53:07 | 1:16:15 2/0 AA_ | 1:53:07 3/0 A__ | 0:00:00   1/0 __
1823           hiddentesla Indonesia  41pt 2:03:10 | 1:02:09 5/1 AA_ | 1:59:10 1/0 A__ | 0:00:00   4/0 __
1865           shirogane14 Indonesia  41pt 2:32:58 | 1:51:50 2/1 AA_ | 2:28:58 1/0 A__ |       -     -  -
1905               naffins Indonesia  40pt 2:24:39 | 2:04:39 1/0 A__ |       -   -   - | 1:32:27   6/5 AA
1956               anthony Indonesia  37pt 0:38:16 | 0:00:00 1/0 ___ | 0:38:16 1/0 AA_ |       -     -  -
2107                 Ariza Indonesia  37pt 1:08:31 |       -   -   - | 1:08:31 1/0 AA_ |       -     -  -
2258          harliedharma Indonesia  37pt 1:38:57 | 0:00:00 1/0 ___ | 1:34:57 2/1 AA_ |       -     -  -
